Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,Fatal(1),Destroyed,Airplane,Cessna,177B,1.0,Reciprocating,Business,1.0,2.0,0.0,0.0,NOT KNOWN
Accident,Fatal(3),Destroyed,Airplane,Grumman,Aa5A,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC
Accident,Fatal(3),Destroyed,Airplane,Swearingen,Sa226-T(B),2.0,Turbo Prop,Executive/corporate,3.0,0.0,0.0,0.0,IMC
Incident,Incident,Minor,Airplane,De Havilland,Dhc-6-300,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,1.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Aerostar 601P,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Aerial Observation,0.0,0.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,177Rg,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beachner,Quick Silver,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182E,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,340A,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-38-112,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Canadair,Cl-44D4,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,6.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-32,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC
Incident,Incident,Minor,Airplane,Piper,Pa-31-350,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Beech,58,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC
Accident,Fatal(3),Destroyed,Airplane,Cessna,182N,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Piper,Pa-23-250,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC
Accident,Fatal(1),Substantial,Airplane,Cessna,210,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
